id_recomendacion,id_usuario,fecha_hora,categoria,detalle,justificacion
1,120,2025-05-19 17:12:20,idioma,Resolver 10 ejercicios de JOIN y ventanas en SQL.,Hito previo no consolidado (Git).
2,142,2025-10-20 17:59:04,prioridad_aprendizaje,Completar módulo de DAX básico en Power BI.,Falta de práctica aplicada en Python.
3,178,2025-05-11 03:00:20,habito,Hacer proyecto integrador con dataset público.,Brecha alta en SQL y comunicación.
4,16,2025-05-23 04:03:44,idioma,Practicar exposición de 5 minutos (storytelling).,Bajo puntaje en Inglés Conversacional.
5,148,2025-10-04 22:11:58,prioridad_aprendizaje,Dedicar 30 min/día a lectura técnica en inglés.,Falta de práctica aplicada en Python.
6,86,2025-05-02 04:04:45,idioma,Hacer proyecto integrador con dataset público.,Hito previo no consolidado (Git).
7,6,2025-06-19 12:43:08,material_estudio,Completar módulo de DAX básico en Power BI.,Hito previo no consolidado (Git).
8,193,2025-10-12 12:47:15,idioma,Dedicar 30 min/día a lectura técnica en inglés.,Falta de práctica aplicada en Python.
9,10,2025-06-07 11:01:17,material_estudio,Practicar exposición de 5 minutos (storytelling).,Falta de práctica aplicada en Python.
10,109,2025-08-17 04:31:59,material_estudio,Resolver 10 ejercicios de JOIN y ventanas en SQL.,Brecha alta en SQL y comunicación.
11,102,2025-07-27 00:07:20,idioma,Resolver 10 ejercicios de JOIN y ventanas en SQL.,Brecha alta en SQL y comunicación.
12,104,2025-07-24 15:59:39,prioridad_aprendizaje,Hacer proyecto integrador con dataset público.,Bajo puntaje en Inglés Conversacional.
13,47,2025-09-13 21:49:18,material_estudio,Practicar exposición de 5 minutos (storytelling).,Hito previo no consolidado (Git).
14,122,2025-10-18 03:34:28,habito,Dedicar 30 min/día a lectura técnica en inglés.,Brecha alta en SQL y comunicación.
15,198,2025-08-01 14:35:26,idioma,Hacer proyecto integrador con dataset público.,Hito previo no consolidado (Git).
16,85,2025-06-05 13:03:13,habito,Hacer proyecto integrador con dataset público.,Brecha alta en SQL y comunicación.
17,100,2025-07-24 14:42:45,material_estudio,Hacer proyecto integrador con dataset público.,Hito previo no consolidado (Git).
18,53,2025-06-22 08:52:17,material_estudio,Hacer proyecto integrador con dataset público.,Hito previo no consolidado (Git).
