id_interaccion,id_usuario,fecha_hora,intencion,tono_agente,canal,duracion_segundos,satisfaccion_usuario,texto_resumen
1,137,2025-04-22 21:13:33,seguimiento,estrategico,movil,392,3,Se ajustó orden de hitos por disponibilidad.
2,45,2025-08-02 12:09:36,consulta_hito,empatico,movil,530,3,Se recomendó practicar ejercicios de SQL.
3,93,2025-07-17 10:12:28,diagnostico,empatico,email,275,3,Se recomendó practicar ejercicios de SQL.
4,74,2025-10-02 15:48:14,recomendacion,directo,movil,93,1,Se revisó avance del hito Python básico.
5,50,2025-06-03 01:52:16,seguimiento,estrategico,email,101,4,Se sugirió priorizar Inglés B1 antes de ML.
6,199,2025-09-05 19:55:52,consulta_hito,directo,whatsapp,185,4,Se revisó avance del hito Python básico.
7,8,2025-06-17 15:03:50,motivacion,didactico,movil,89,4,Se recomendó practicar ejercicios de SQL.
8,183,2025-04-09 02:32:45,motivacion,empatico,web,411,2,Se explicó ruta de aprendizaje inicial.
9,66,2025-08-09 23:00:31,consulta_hito,empatico,email,250,3,Se ajustó orden de hitos por disponibilidad.
10,129,2025-05-30 10:50:22,recomendacion,directo,whatsapp,250,3,Se explicó ruta de aprendizaje inicial.
11,10,2025-05-14 12:47:27,motivacion,empatico,email,466,4,Se ajustó orden de hitos por disponibilidad.
12,74,2025-10-20 21:32:42,diagnostico,didactico,whatsapp,191,3,Se recomendó practicar ejercicios de SQL.
13,66,2025-08-21 19:24:42,recomendacion,estrategico,email,69,5,Se revisó avance del hito Python básico.
14,137,2025-08-22 15:36:45,diagnostico,didactico,movil,476,5,Se explicó ruta de aprendizaje inicial.
15,4,2025-08-06 16:13:24,consulta_hito,empatico,movil,564,4,Se ajustó orden de hitos por disponibilidad.
16,132,2025-07-12 09:59:23,motivacion,didactico,email,555,5,Se revisó avance del hito Python básico.
17,196,2025-04-27 20:47:02,recomendacion,estrategico,email,151,4,Se explicó ruta de aprendizaje inicial.
18,71,2025-09-25 17:48:13,consulta_hito,estrategico,email,253,1,Se explicó ruta de aprendizaje inicial.
19,187,2025-08-30 07:17:34,recomendacion,directo,whatsapp,150,2,Se ajustó orden de hitos por disponibilidad.
20,167,2025-07-01 03:00:48,motivacion,didactico,movil,548,2,Se revisó avance del hito Python básico.
21,146,2025-05-14 06:53:06,consulta_hito,empatico,email,45,4,Se revisó avance del hito Python básico.
22,146,2025-06-24 19:08:36,consulta_hito,empatico,movil,186,2,Se explicó ruta de aprendizaje inicial.
23,12,2025-05-19 15:13:38,diagnostico,directo,movil,194,1,Se explicó ruta de aprendizaje inicial.
24,17,2025-09-01 02:10:48,seguimiento,didactico,email,132,1,Se explicó ruta de aprendizaje inicial.
25,131,2025-10-07 22:46:26,seguimiento,empatico,web,575,1,Se recomendó practicar ejercicios de SQL.
26,49,2025-08-26 22:30:32,seguimiento,empatico,whatsapp,78,2,Se ajustó orden de hitos por disponibilidad.
27,75,2025-08-06 05:16:55,consulta_hito,empatico,web,509,3,Se sugirió priorizar Inglés B1 antes de ML.
28,193,2025-05-27 21:34:07,consulta_hito,estrategico,whatsapp,433,5,Se recomendó practicar ejercicios de SQL.
29,174,2025-05-12 03:12:00,diagnostico,empatico,movil,32,4,Se sugirió priorizar Inglés B1 antes de ML.
30,47,2025-04-05 13:39:36,recomendacion,estrategico,whatsapp,403,4,Se explicó ruta de aprendizaje inicial.
31,85,2025-04-11 19:08:03,diagnostico,didactico,email,414,4,Se recomendó practicar ejercicios de SQL.
32,24,2025-05-02 21:03:58,diagnostico,didactico,whatsapp,321,1,Se explicó ruta de aprendizaje inicial.
33,181,2025-06-30 12:12:20,recomendacion,empatico,email,569,3,Se explicó ruta de aprendizaje inicial.
34,103,2025-07-17 14:57:34,motivacion,didactico,web,550,5,Se explicó ruta de aprendizaje inicial.
35,95,2025-06-18 19:12:17,seguimiento,didactico,movil,316,5,Se revisó avance del hito Python básico.
36,97,2025-09-08 14:13:25,consulta_hito,didactico,email,30,5,Se revisó avance del hito Python básico.
37,139,2025-09-19 12:59:53,motivacion,empatico,email,556,4,Se ajustó orden de hitos por disponibilidad.
38,19,2025-08-23 14:28:21,diagnostico,estrategico,email,199,3,Se sugirió priorizar Inglés B1 antes de ML.
39,20,2025-09-27 16:56:02,seguimiento,empatico,movil,144,1,Se explicó ruta de aprendizaje inicial.
40,34,2025-09-18 19:53:04,recomendacion,didactico,movil,404,1,Se recomendó practicar ejercicios de SQL.
41,21,2025-04-06 11:26:01,motivacion,estrategico,movil,89,4,Se recomendó practicar ejercicios de SQL.
42,86,2025-10-19 11:08:05,recomendacion,empatico,email,513,4,Se recomendó practicar ejercicios de SQL.
43,181,2025-05-09 05:48:00,consulta_hito,didactico,whatsapp,409,5,Se revisó avance del hito Python básico.
44,20,2025-05-11 17:04:35,motivacion,directo,whatsapp,109,5,Se ajustó orden de hitos por disponibilidad.
45,104,2025-05-27 17:04:37,seguimiento,estrategico,movil,181,2,Se ajustó orden de hitos por disponibilidad.
46,123,2025-08-12 00:33:30,motivacion,empatico,email,69,3,Se recomendó practicar ejercicios de SQL.
47,69,2025-05-25 10:16:02,diagnostico,estrategico,whatsapp,396,4,Se explicó ruta de aprendizaje inicial.
48,82,2025-09-20 04:33:02,motivacion,directo,web,159,2,Se recomendó practicar ejercicios de SQL.
49,128,2025-04-04 05:31:39,motivacion,empatico,web,79,4,Se revisó avance del hito Python básico.
50,181,2025-08-15 02:13:35,seguimiento,estrategico,web,485,2,Se revisó avance del hito Python básico.
51,35,2025-07-21 08:15:58,seguimiento,directo,movil,588,5,Se recomendó practicar ejercicios de SQL.
52,185,2025-07-21 22:44:09,diagnostico,empatico,web,512,5,Se ajustó orden de hitos por disponibilidad.
53,47,2025-06-05 16:49:21,recomendacion,didactico,movil,107,2,Se sugirió priorizar Inglés B1 antes de ML.
54,19,2025-09-02 11:14:00,motivacion,estrategico,web,508,1,Se explicó ruta de aprendizaje inicial.
55,90,2025-04-27 02:53:50,diagnostico,empatico,whatsapp,16,5,Se revisó avance del hito Python básico.
56,119,2025-05-16 14:50:45,diagnostico,estrategico,movil,452,1,Se explicó ruta de aprendizaje inicial.
57,191,2025-08-23 01:49:26,consulta_hito,didactico,web,598,2,Se revisó avance del hito Python básico.
58,12,2025-04-16 22:56:23,seguimiento,empatico,email,336,1,Se explicó ruta de aprendizaje inicial.
59,124,2025-07-12 19:01:15,diagnostico,estrategico,whatsapp,315,2,Se revisó avance del hito Python básico.
60,146,2025-10-03 02:04:03,seguimiento,directo,email,367,2,Se ajustó orden de hitos por disponibilidad.
61,66,2025-07-21 13:41:41,seguimiento,empatico,email,105,5,Se ajustó orden de hitos por disponibilidad.
62,37,2025-10-05 08:13:05,consulta_hito,estrategico,web,233,1,Se explicó ruta de aprendizaje inicial.
63,67,2025-08-11 06:07:44,diagnostico,directo,whatsapp,589,5,Se sugirió priorizar Inglés B1 antes de ML.
64,57,2025-06-14 08:16:59,diagnostico,didactico,whatsapp,233,3,Se sugirió priorizar Inglés B1 antes de ML.
65,66,2025-07-07 04:09:32,recomendacion,directo,email,557,1,Se sugirió priorizar Inglés B1 antes de ML.
66,70,2025-09-20 07:23:05,diagnostico,didactico,email,213,5,Se ajustó orden de hitos por disponibilidad.
67,57,2025-07-10 19:54:25,recomendacion,directo,whatsapp,196,3,Se revisó avance del hito Python básico.
68,98,2025-07-28 21:43:55,seguimiento,directo,web,353,3,Se explicó ruta de aprendizaje inicial.
69,115,2025-09-23 18:26:55,recomendacion,empatico,email,383,4,Se ajustó orden de hitos por disponibilidad.
70,86,2025-08-19 01:55:54,diagnostico,estrategico,email,178,2,Se ajustó orden de hitos por disponibilidad.
71,47,2025-04-07 23:40:47,motivacion,empatico,whatsapp,347,1,Se explicó ruta de aprendizaje inicial.
72,127,2025-08-02 09:27:37,diagnostico,empatico,movil,117,1,Se explicó ruta de aprendizaje inicial.
73,119,2025-10-18 07:17:59,seguimiento,empatico,web,160,3,Se recomendó practicar ejercicios de SQL.
74,181,2025-09-24 02:23:13,seguimiento,empatico,movil,187,1,Se sugirió priorizar Inglés B1 antes de ML.
75,184,2025-08-26 06:27:21,consulta_hito,estrategico,whatsapp,100,2,Se explicó ruta de aprendizaje inicial.
76,22,2025-05-26 17:25:29,consulta_hito,didactico,whatsapp,594,3,Se explicó ruta de aprendizaje inicial.
77,3,2025-06-04 12:46:32,seguimiento,empatico,web,342,1,Se recomendó practicar ejercicios de SQL.
78,55,2025-06-14 07:30:31,recomendacion,estrategico,email,362,1,Se sugirió priorizar Inglés B1 antes de ML.
79,73,2025-04-21 05:26:49,seguimiento,empatico,email,210,2,Se sugirió priorizar Inglés B1 antes de ML.
80,153,2025-04-23 10:29:47,recomendacion,estrategico,web,251,1,Se explicó ruta de aprendizaje inicial.
81,3,2025-09-03 16:54:49,recomendacion,directo,whatsapp,27,2,Se ajustó orden de hitos por disponibilidad.
82,31,2025-04-05 08:57:41,recomendacion,estrategico,movil,47,2,Se sugirió priorizar Inglés B1 antes de ML.
83,12,2025-10-17 21:43:02,motivacion,estrategico,web,88,5,Se recomendó practicar ejercicios de SQL.
84,161,2025-05-10 15:11:43,consulta_hito,estrategico,movil,573,3,Se recomendó practicar ejercicios de SQL.
85,195,2025-07-07 19:45:56,recomendacion,estrategico,movil,61,3,Se sugirió priorizar Inglés B1 antes de ML.
86,19,2025-04-17 02:56:39,diagnostico,didactico,email,598,5,Se explicó ruta de aprendizaje inicial.
87,165,2025-04-11 16:07:06,seguimiento,didactico,web,90,5,Se sugirió priorizar Inglés B1 antes de ML.
88,184,2025-09-21 18:54:08,seguimiento,estrategico,web,262,4,Se ajustó orden de hitos por disponibilidad.
89,69,2025-05-22 20:54:01,consulta_hito,directo,whatsapp,329,5,Se recomendó practicar ejercicios de SQL.
90,58,2025-04-12 04:08:18,diagnostico,didactico,email,484,4,Se revisó avance del hito Python básico.
91,86,2025-08-09 14:59:48,diagnostico,directo,movil,371,1,Se explicó ruta de aprendizaje inicial.
92,127,2025-06-25 17:45:29,seguimiento,estrategico,whatsapp,148,4,Se revisó avance del hito Python básico.
93,74,2025-05-15 06:47:17,seguimiento,estrategico,movil,77,2,Se ajustó orden de hitos por disponibilidad.
94,180,2025-06-01 05:57:01,consulta_hito,directo,whatsapp,353,1,Se explicó ruta de aprendizaje inicial.
95,4,2025-04-16 14:44:23,motivacion,empatico,email,62,3,Se revisó avance del hito Python básico.
96,2,2025-09-11 23:45:44,motivacion,estrategico,movil,29,2,Se explicó ruta de aprendizaje inicial.
97,23,2025-08-31 08:20:34,seguimiento,didactico,movil,154,5,Se explicó ruta de aprendizaje inicial.
98,73,2025-08-12 02:50:08,seguimiento,estrategico,email,346,5,Se revisó avance del hito Python básico.
99,23,2025-06-09 14:43:13,motivacion,didactico,whatsapp,186,4,Se explicó ruta de aprendizaje inicial.
100,60,2025-07-06 12:25:59,seguimiento,directo,web,159,4,Se recomendó practicar ejercicios de SQL.
101,91,2025-06-15 15:37:34,diagnostico,estrategico,email,489,1,Se ajustó orden de hitos por disponibilidad.
102,33,2025-04-04 15:11:18,seguimiento,empatico,web,367,2,Se revisó avance del hito Python básico.
103,183,2025-04-06 13:59:43,consulta_hito,directo,email,187,1,Se ajustó orden de hitos por disponibilidad.
104,186,2025-06-09 14:01:12,diagnostico,estrategico,web,549,5,Se sugirió priorizar Inglés B1 antes de ML.
105,186,2025-04-05 20:48:53,recomendacion,empatico,email,123,1,Se ajustó orden de hitos por disponibilidad.
106,112,2025-06-25 07:41:11,motivacion,estrategico,whatsapp,578,5,Se explicó ruta de aprendizaje inicial.
107,187,2025-08-03 17:50:27,motivacion,didactico,email,186,1,Se sugirió priorizar Inglés B1 antes de ML.
108,143,2025-04-21 11:19:48,diagnostico,estrategico,movil,505,5,Se ajustó orden de hitos por disponibilidad.
109,56,2025-04-30 07:01:05,motivacion,didactico,movil,535,5,Se sugirió priorizar Inglés B1 antes de ML.
110,45,2025-10-18 21:47:07,recomendacion,estrategico,whatsapp,69,1,Se ajustó orden de hitos por disponibilidad.
111,36,2025-06-08 11:57:53,seguimiento,directo,web,70,2,Se ajustó orden de hitos por disponibilidad.
112,55,2025-07-27 14:19:25,motivacion,directo,movil,153,2,Se explicó ruta de aprendizaje inicial.
113,65,2025-05-08 15:31:21,recomendacion,estrategico,email,300,2,Se revisó avance del hito Python básico.
114,192,2025-05-16 19:29:47,diagnostico,didactico,whatsapp,215,1,Se revisó avance del hito Python básico.
115,189,2025-04-09 06:33:20,consulta_hito,empatico,movil,66,3,Se revisó avance del hito Python básico.
116,57,2025-05-25 03:50:16,consulta_hito,didactico,email,382,2,Se explicó ruta de aprendizaje inicial.
117,63,2025-08-27 00:55:35,consulta_hito,empatico,movil,530,1,Se sugirió priorizar Inglés B1 antes de ML.
118,86,2025-04-22 11:21:24,seguimiento,estrategico,email,216,1,Se explicó ruta de aprendizaje inicial.
119,89,2025-07-02 20:15:25,seguimiento,didactico,email,379,4,Se ajustó orden de hitos por disponibilidad.
120,25,2025-06-30 07:04:29,consulta_hito,empatico,web,180,5,Se explicó ruta de aprendizaje inicial.
121,107,2025-05-02 22:56:48,seguimiento,estrategico,email,56,2,Se ajustó orden de hitos por disponibilidad.
122,192,2025-06-27 22:26:59,diagnostico,empatico,whatsapp,268,5,Se recomendó practicar ejercicios de SQL.
123,18,2025-09-01 12:59:16,seguimiento,directo,movil,596,1,Se revisó avance del hito Python básico.
124,31,2025-09-14 05:46:32,seguimiento,empatico,web,390,4,Se ajustó orden de hitos por disponibilidad.
125,95,2025-09-13 10:03:27,seguimiento,didactico,web,407,2,Se sugirió priorizar Inglés B1 antes de ML.
126,40,2025-05-06 20:56:49,motivacion,didactico,whatsapp,385,1,Se recomendó practicar ejercicios de SQL.
127,149,2025-07-24 15:25:56,recomendacion,estrategico,web,466,4,Se sugirió priorizar Inglés B1 antes de ML.
